id,country_of_origin,farm_name,company,average_altitude_m,region,producer,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,overall,defects,total_cup_points,moisture_percentage,category_one_defects,quakers,color,category_two_defects
11,Guatemala,Karen Acajabon Coffee Farm,Taiwan Coffee Laboratory,2000.0,Acatenango,Karen Acajabon,Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,8.0,0.0,86.25,11.5,0,0,brownish,1
12,Taiwan,古峰咖啡莊園 Goodfun Coffee Farm,Taiwan Coffee Laboratory,1250.0,Yunlin,賴彥合,Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,8.0,0.0,86.25,11.9,0,0,green,0
13,Ethiopia,Gelana Geisha,Kerchanshe Trading PLC,1950.0,Guji,Kerchanshe,Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,8.0,0.0,86.17,11.6,0,3,yellow- green,2
14,Colombia,La Gaitania,Taiwan Coffee Laboratory,1850.0,tolima,Josue Enciso Suarez,Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,8.0,0.0,86.17,10.6,0,0,green,0
15,Taiwan,青葉咖啡莊園,Taiwan Coffee Laboratory,1100.0,Chiayi,葉世遠,SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,8.0,0.0,86.08,10.2,0,0,green,0
16,Ethiopia,Halo Bariti Cooprative,Coffee Quality Union,2000.0,"Gedeb,Yirgacheffe,Sidamo",Halo Bariti Cooprative,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,8.08,0.0,86.08,11.3,0,2,green,2
17,Taiwan,東璧咖啡莊園,Dongbi coffee,1300.0,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",陳景立,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,8.17,0.0,86.08,10.3,0,0,yellow-green,0
18,Taiwan,櫻桃果古坑咖啡莊園,宸嶧國際有限公司,1200.0,"Gukeng Township, Yunlin County",王瀅惠,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,8.17,0.0,85.92,11.0,0,0,brownish,1
19,"Tanzania, United Republic Of",BURKA,DORMAN (T) LIMITED,1585.0,Arusha,DORMAN (T) LIMITED,Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,7.92,0.0,85.83,10.0,0,0,greenish,0
20,Guatemala,Finca Vista Hermosa,Taiwan Coffee Laboratory,1900.0,"Guatemala, Fraijanes, Santa Rosa",Fredy Orantes,Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,8.08,0.0,85.75,11.6,0,0,yellowish,0
21,Taiwan,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,Taiwan Coffee Laboratory,850.0,卓溪鄉Zhuoxi Township,游婷淯 YU TING YU,Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,7.92,0.0,85.67,10.4,0,0,green,0
22,Thailand,Hom Doi,Lyrose,1600.0,Chiang Mai,Lisu farmers,Catimor,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,8.08,0.0,85.67,9.8,0,0,browish-green,5
24,Taiwan,永舜咖啡莊園,Taiwan Coffee Laboratory,1250.0,Yunlin,蘇甘永,SL34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,7.92,0.0,85.58,10.6,0,0,bluish-green,0
26,Taiwan,鄒築園ZouZhouYuan,Taiwan Coffee Laboratory,1300.0,Chiayi,方政倫,Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,8.0,0.0,85.5,9.1,0,0,green,2
27,Taiwan,嵩岳咖啡莊園,Taiwan Coffee Laboratory,1200.0,Yunlin,郭志豪,Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,7.92,0.0,85.5,10.6,0,0,green,0
28,Taiwan,他扶芽有機農園,Taiwan Coffee Laboratory,1060.0,Chiayi,陳清龍,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,7.92,0.0,85.5,10.2,0,0,blue-green,0
29,United States (Hawaii),Hokukano Ranch,Taiwan Coffee Laboratory,600.0,Kona,Kona Hills LLC,Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,8.0,0.0,85.42,9.3,0,0,green,0
30,Taiwan,鄉庭有機農場Siang-Ting Organic Farm,Taiwan Coffee Laboratory,200.0,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,8.08,0.0,85.42,11.4,0,0,bluish-green,0
31,Taiwan,鄉庭有機農場Siang-Ting Organic Farm,Taiwan Coffee Laboratory,200.0,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,8.0,0.0,85.33,10.8,0,0,green,0
32,Taiwan,金讚咖啡農莊園(Jinzan Coffee Estate),Taiwan Coffee Laboratory,668.0,"Dongshan Dist., Tainan City","葉明讚 (YE,MING-ZAN)",Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,8.0,0.0,85.33,11.3,0,0,green,0
33,Ethiopia,Eshetu farm,Alo Coffee,1950.0,Oromia,Eshetu,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,8.0,0.0,85.33,9.9,0,2,green,3
34,Ethiopia,Uraga Bisrat washing station,TADESSE DESTA IMPORT & EXPORT,2250.0,Southern Ethiopia Guji,Bisrat Melaku,Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,7.83,0.0,85.33,12.3,0,3,yellow green,4
35,Ethiopia,YHAENU PLC FARM,yhaenu plc,1700.0,OROMIA,YHAENU PLC,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,7.83,0.0,85.25,9.4,0,1,greenish,1
36,Taiwan,卓武山咖啡農場,Taiwan Coffee Laboratory,1200.0,Chiayi,許定燁,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,7.92,0.0,85.25,9.5,0,0,bluish-green,0
37,Taiwan,御香咖啡園 YU SIANG Coffee Estate,Taiwan Coffee Laboratory,650.0,"Dongshan Dist., Tainan City","陳建源(CHEN, JIAN-YUAN)",Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,7.92,0.0,85.25,11.3,0,0,green,0
38,Kenya,Small Holder,IBERO (K) LTD,1750.0,Central,Small Holder,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,8.0,0.0,85.25,9.2,0,0,greenish,1
39,Taiwan,皇庭咖啡莊園,宸嶧國際有限公司,850.0,"Caoling , Gukeng Township, Yunlin County",陳榮豐,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,8.0,0.0,85.17,10.3,0,0,bluish-green,0
40,Taiwan,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,Taiwan Coffee Laboratory,400.0,秀林鄉Show Linxia Township,李志祥 Li Zhi-xia,Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,7.92,0.0,85.08,10.0,0,0,brownish,0
41,Taiwan,八一高地,茂泰生技股份有限公司,1000.0,台灣屏東,陳科翰,Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,7.83,0.0,85.08,10.5,0,0,greenish,0
42,Taiwan,香夾蘭莊園,Taiwu Coffee Cooperative,800.0,苗栗縣,黃簡秋蘭,Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,7.92,0.0,85.08,10.0,0,0,pale yellow,5
43,Uganda,Gideon Kule,Kyagalanyi Coffee Limited,1905.0,Rwenzori,Kyagalanyi coffee limited,SL14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,7.92,0.0,85.0,11.0,0,0,green,1
45,Taiwan,青山坪咖啡農場,Taiwan Coffee Laboratory,800.0,Yunlin,王清連,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,7.83,0.0,85.0,10.1,0,0,yellow green,0
46,Guatemala,varias fincas,"Peter Schoenfeld, S.A.",1600.0,Antigua,Varios productores,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,7.83,0.0,85.0,9.9,0,1,green,1
47,Guatemala,PEÑA BLANCA,"OLAM AGRO GUATEMALA, S.A.",4700.0,Santa Rosa,PABLO CHUY,Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,7.83,0.0,85.0,11.3,0,0,green,4
48,Guatemala,san francisco cotzal,"inmobiliaria e inversiones dos mil, s.a.",1600.0,quiche,san francisco cotzal,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,7.92,0.0,84.92,11.7,0,3,green,1
49,Taiwan,六曲窩,Taiwu Coffee Cooperative,375.0,新竹縣,黃俊淦,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,7.83,0.0,84.92,9.5,0,0,green,2
50,Taiwan,北平山林,Taiwu Coffee Cooperative,230.0,新竹縣,戴禎男,Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,7.92,0.0,84.83,9.7,0,0,brownish,0
52,Peru,Ruya Yayu Farm,Taiwan Coffee Laboratory,1750.0,Villa Rica,Ruya Yayu,Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,7.75,0.0,84.83,10.7,0,0,greenish,0
53,"Tanzania, United Republic Of",IYENGA,VOLCAFE/TaylorWinch Tanzania Ltd,1654.0,Mbeya,IYENGA AMCOS,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,7.83,0.0,84.83,11.2,0,0,greenish,0
54,Taiwan,優遊吧斯瑪翡咖啡莊園,Taiwan Coffee Laboratory,1300.0,Chiayi,鄭虞坪,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,8.0,0.0,84.83,9.5,0,0,greenish,0
55,Taiwan,森悅高峰咖啡莊園,Taiwan Coffee Laboratory,1400.0,Nantou,吳振宏,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,7.83,0.0,84.75,10.4,0,0,green,0
56,Brazil,Fazenda Guariroba,Mirai Seeds Corp.,1100.0,Campo das Vertentes,Homero Paiva,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,7.83,0.0,84.75,11.2,0,1,green,5
57,Panama,La Santa,Panamerican Coffee Trading,1200.0,Boquete,La Santa,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,7.83,0.0,84.75,10.3,0,1,bluish-green,5
58,Taiwan,嵐雲綠海咖啡,茂泰生技股份有限公司,1200.0,台灣屏東,卓榮華,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,7.75,0.0,84.75,10.0,0,0,blue-green,0
59,Guatemala,Varias Fincas,"Peter Schoenfeld, S.A.",1600.0,Huehuetenango,Varios Productores,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,7.92,0.0,84.67,10.6,0,0,green,1
60,Guatemala,SAN RAFAEL URIAS VALDES,"VALBROS, S. A.",4895.0,ANTIGUA GUATEMALA,"VALBROS, S. A.",Bourbon,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,7.83,0.0,84.67,10.9,0,3,yellow-green,2
61,Costa Rica,Gamboa Farm,CECA S.A.,1850.0,Tarrazu,Martin Gutierrez,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,8.58,0.0,84.67,10.0,0,1,green,2
